profile,buurt_code,buren,value,n_sample
5,BU00341501,BU00341501,8.32,273
1,BU00341601,BU00341601,27.03,1409
2,BU00341601,BU00341601,12.58,1409
3,BU00341601,BU00341601,22.68,1409
4,BU00341601,BU00341601,29.75,1409
5,BU00341601,BU00341601,7.96,1409
1,BU00341602,BU00341602,27,1093
2,BU00341602,BU00341602,11.84,1093
3,BU00341602,BU00341602,22.64,1093
4,BU00341602,BU00341602,29.98,1093
5,BU00341602,BU00341602,8.54,1093
1,BU00341701,BU00341701,27.71,398
2,BU00341701,BU00341701,12.43,398
3,BU00341701,BU00341701,22.04,398
4,BU00341701,BU00341701,30.24,398
5,BU00341701,BU00341701,7.58,398
1,BU00341702,BU00341702,28.33,1360
2,BU00341702,BU00341702,12.35,1360
3,BU00341702,BU00341702,22.64,1360
4,BU00341702,BU00341702,28.73,1360
5,BU00341702,BU00341702,7.95,1360
1,BU00341703,BU00341703,26.65,2438
2,BU00341703,BU00341703,13.25,2438
3,BU00341703,BU00341703,22.94,2438
4,BU00341703,BU00341703,29.4,2438
5,BU00341703,BU00341703,7.76,2438
1,BU00341704,BU00341704,26.46,2131
2,BU00341704,BU00341704,12.5,2131
3,BU00341704,BU00341704,21.94,2131
4,BU00341704,BU00341704,30.52,2131
5,BU00341704,BU00341704,8.58,2131
1,BU00341705,BU00341705,26.51,2392
2,BU00341705,BU00341705,12.15,2392
3,BU00341705,BU00341705,23.12,2392
4,BU00341705,BU00341705,29.78,2392
5,BU00341705,BU00341705,8.44,2392
1,BU00341801,BU00341801,27.11,428
2,BU00341801,BU00341801,12.13,428
3,BU00341801,BU00341801,22.61,428
4,BU00341801,BU00341801,30.38,428
5,BU00341801,BU00341801,7.77,428
1,BU00341802,BU00341802,27.28,1133
2,BU00341802,BU00341802,12.7,1133
3,BU00341802,BU00341802,23.34,1133
4,BU00341802,BU00341802,28,1133
5,BU00341802,BU00341802,8.68,1133
1,BU00341803,BU00341803,27.15,2053
2,BU00341803,BU00341803,11.81,2053
3,BU00341803,BU00341803,23.59,2053
4,BU00341803,BU00341803,28.99,2053
5,BU00341803,BU00341803,8.46,2053
1,BU00341804,BU00341804,27.04,605
2,BU00341804,BU00341804,12.27,605
3,BU00341804,BU00341804,23.89,605
4,BU00341804,BU00341804,28.9,605
5,BU00341804,BU00341804,7.9,605
1,BU00341805,BU00341805,27.73,1192
2,BU00341805,BU00341805,12.64,1192
3,BU00341805,BU00341805,22.62,1192
4,BU00341805,BU00341805,29.42,1192
5,BU00341805,BU00341805,7.59,1192
1,BU00341806,BU00341806,27.76,2202
2,BU00341806,BU00341806,12.11,2202
3,BU00341806,BU00341806,23.59,2202
4,BU00341806,BU00341806,28.43,2202
5,BU00341806,BU00341806,8.11,2202
1,BU00341807,BU00341807,28.03,1336
2,BU00341807,BU00341807,11.95,1336
3,BU00341807,BU00341807,23.35,1336
4,BU00341807,BU00341807,28.57,1336
5,BU00341807,BU00341807,8.1,1336
1,BU00341808,BU00341808,27.53,1667
2,BU00341808,BU00341808,12.31,1667
3,BU00341808,BU00341808,21.82,1667
4,BU00341808,BU00341808,30.01,1667
5,BU00341808,BU00341808,8.33,1667
1,BU00341901,BU00341901,26.14,390
2,BU00341901,BU00341901,13.33,390
3,BU00341901,BU00341901,22.3,390
4,BU00341901,BU00341901,30.56,390
5,BU00341901,BU00341901,7.67,390
1,BU00341902,BU00341902,27.73,1802
2,BU00341902,BU00341902,11.69,1802
3,BU00341902,BU00341902,22.89,1802
4,BU00341902,BU00341902,30.14,1802
5,BU00341902,BU00341902,7.55,1802
1,BU00341904,BU00341904,27.52,2348
2,BU00341904,BU00341904,12.72,2348
3,BU00341904,BU00341904,22.6,2348
4,BU00341904,BU00341904,29.39,2348
5,BU00341904,BU00341904,7.77,2348
1,BU00342001,BU00342001,27.96,2479
2,BU00342001,BU00342001,12.23,2479
3,BU00342001,BU00342001,22.11,2479
4,BU00342001,BU00342001,29.45,2479
5,BU00342001,BU00342001,8.25,2479
1,BU00342002,BU00342002,27.1,551
2,BU00342002,BU00342002,13.3,551
3,BU00342002,BU00342002,22.11,551
4,BU00342002,BU00342002,29.99,551
5,BU00342002,BU00342002,7.5,551
1,BU00342003,BU00342003,27.24,440
2,BU00342003,BU00342003,12.49,440
3,BU00342003,BU00342003,22.76,440
4,BU00342003,BU00342003,29.79,440
5,BU00342003,BU00342003,7.72,440
1,BU00342004,BU00342004,27.21,1361
2,BU00342004,BU00342004,12.76,1361
3,BU00342004,BU00342004,22.95,1361
4,BU00342004,BU00342004,29.36,1361
5,BU00342004,BU00342004,7.72,1361
1,BU00342005,BU00342005,26.67,1138
2,BU00342005,BU00342005,12.69,1138
3,BU00342005,BU00342005,22.65,1138
4,BU00342005,BU00342005,29.5,1138
5,BU00342005,BU00342005,8.49,1138
1,BU00342101,BU00342101,26.59,2430
2,BU00342101,BU00342101,13.07,2430
3,BU00342101,BU00342101,22.88,2430
4,BU00342101,BU00342101,29.77,2430
5,BU00342101,BU00342101,7.69,2430
1,BU00342102,BU00342102,27.95,630
2,BU00342102,BU00342102,11.64,630
3,BU00342102,BU00342102,22.2,630
4,BU00342102,BU00342102,30.16,630
5,BU00342102,BU00342102,8.05,630
1,BU00342103,BU00342103,27.41,1431
2,BU00342103,BU00342103,12.15,1431
3,BU00342103,BU00342103,22.95,1431
4,BU00342103,BU00342103,29.85,1431
5,BU00342103,BU00342103,7.64,1431
1,BU00342201,BU00342201,26.95,1430
2,BU00342201,BU00342201,12.54,1430
3,BU00342201,BU00342201,23.11,1430
4,BU00342201,BU00342201,29.58,1430
5,BU00342201,BU00342201,7.82,1430
1,BU00342202,BU00342202,28.28,2373
2,BU00342202,BU00342202,11.66,2373
3,BU00342202,BU00342202,23.58,2373
4,BU00342202,BU00342202,28.85,2373
5,BU00342202,BU00342202,7.63,2373
1,BU00342203,BU00342203,26.69,1039
2,BU00342203,BU00342203,12.62,1039
3,BU00342203,BU00342203,22.37,1039
4,BU00342203,BU00342203,30.24,1039
5,BU00342203,BU00342203,8.08,1039
1,BU00342204,BU00342204,27.03,1281
2,BU00342204,BU00342204,12.61,1281
3,BU00342204,BU00342204,22.42,1281
4,BU00342204,BU00342204,29.94,1281
5,BU00342204,BU00342204,8,1281
1,BU00342205,BU00342205,27.9,1724
2,BU00342205,BU00342205,12.61,1724
3,BU00342205,BU00342205,22.72,1724
4,BU00342205,BU00342205,28.71,1724
5,BU00342205,BU00342205,8.06,1724
1,BU00342206,BU00342206,26.58,795
2,BU00342206,BU00342206,11.91,795
3,BU00342206,BU00342206,23.22,795
4,BU00342206,BU00342206,29.89,795
5,BU00342206,BU00342206,8.4,795
1,BU00342301,BU00342301,26.64,1547
2,BU00342301,BU00342301,12.6,1547
3,BU00342301,BU00342301,23.84,1547
4,BU00342301,BU00342301,28.54,1547
5,BU00342301,BU00342301,8.38,1547
1,BU00342302,BU00342302,27.38,583
2,BU00342302,BU00342302,12.85,583
3,BU00342302,BU00342302,22.76,583
4,BU00342302,BU00342302,29.45,583
5,BU00342302,BU00342302,7.56,583
1,BU00342303,BU00342303,28.21,1014
2,BU00342303,BU00342303,11.68,1014
3,BU00342303,BU00342303,22.54,1014
4,BU00342303,BU00342303,29.7,1014
5,BU00342303,BU00342303,7.87,1014
1,BU00342304,BU00342304,25.97,1064
2,BU00342304,BU00342304,12.58,1064
3,BU00342304,BU00342304,23.49,1064
4,BU00342304,BU00342304,30.05,1064
5,BU00342304,BU00342304,7.91,1064
1,BU00342401,BU00342401,27.21,558
2,BU00342401,BU00342401,12.19,558
3,BU00342401,BU00342401,23.23,558
4,BU00342401,BU00342401,29.26,558
5,BU00342401,BU00342401,8.11,558
1,BU00342402,BU00342402,27.29,910
2,BU00342402,BU00342402,12.11,910
3,BU00342402,BU00342402,22.85,910
4,BU00342402,BU00342402,29.59,910
5,BU00342402,BU00342402,8.16,910
1,BU00342403,BU00342403,27.57,382
2,BU00342403,BU00342403,12.45,382
3,BU00342403,BU00342403,23.45,382
4,BU00342403,BU00342403,28.79,382
5,BU00342403,BU00342403,7.74,382
1,BU00342404,BU00342404,26.12,2367
2,BU00342404,BU00342404,13,2367
3,BU00342404,BU00342404,22.7,2367
4,BU00342404,BU00342404,29.76,2367
5,BU00342404,BU00342404,8.42,2367
1,BU00342405,BU00342405,27.17,375
2,BU00342405,BU00342405,11.88,375
3,BU00342405,BU00342405,22.95,375
4,BU00342405,BU00342405,29.6,375
5,BU00342405,BU00342405,8.4,375
1,BU00342406,BU00342406,27.29,1417
2,BU00342406,BU00342406,12.09,1417
3,BU00342406,BU00342406,22.99,1417
4,BU00342406,BU00342406,29.9,1417
5,BU00342406,BU00342406,7.73,1417
1,BU00342407,BU00342407,26.91,1035
2,BU00342407,BU00342407,13,1035
3,BU00342407,BU00342407,23.08,1035
4,BU00342407,BU00342407,29.06,1035
5,BU00342407,BU00342407,7.95,1035
1,BU00342408,BU00342408,27.75,629
2,BU00342408,BU00342408,12.86,629
3,BU00342408,BU00342408,22.72,629
4,BU00342408,BU00342408,29.01,629
5,BU00342408,BU00342408,7.66,629
1,BU00342501,BU00342501,26.69,2175
2,BU00342501,BU00342501,13.32,2175
3,BU00342501,BU00342501,22.78,2175
4,BU00342501,BU00342501,28.91,2175
5,BU00342501,BU00342501,8.3,2175
1,BU00342503,BU00342503,26.8,1293
2,BU00342503,BU00342503,12.71,1293
3,BU00342503,BU00342503,22.86,1293
4,BU00342503,BU00342503,29.36,1293
5,BU00342503,BU00342503,8.27,1293
1,BU00342601,BU00342601,27.03,1152
2,BU00342601,BU00342601,12.43,1152
3,BU00342601,BU00342601,22.51,1152
4,BU00342601,BU00342601,29.61,1152
5,BU00342601,BU00342601,8.42,1152
1,BU00342602,BU00342602,27.49,578
2,BU00342602,BU00342602,11.76,578
3,BU00342602,BU00342602,22.27,578
4,BU00342602,BU00342602,29.66,578
5,BU00342602,BU00342602,8.82,578
1,BU00342603,BU00342603,26.76,1711
2,BU00342603,BU00342603,12.74,1711
3,BU00342603,BU00342603,22.89,1711
4,BU00342603,BU00342603,29.95,1711
5,BU00342603,BU00342603,7.66,1711
1,BU00342604,BU00342604,26.48,743
2,BU00342604,BU00342604,12.59,743
3,BU00342604,BU00342604,22.82,743
4,BU00342604,BU00342604,30.03,743
5,BU00342604,BU00342604,8.08,743
1,BU00342605,BU00342605,26.66,1158
2,BU00342605,BU00342605,11.7,1158
3,BU00342605,BU00342605,23.51,1158
4,BU00342605,BU00342605,29.3,1158
5,BU00342605,BU00342605,8.83,1158
1,BU00342606,BU00342606,28.49,1353
2,BU00342606,BU00342606,11.91,1353
3,BU00342606,BU00342606,22.42,1353
4,BU00342606,BU00342606,29.32,1353
5,BU00342606,BU00342606,7.86,1353
1,BU00342607,BU00342607,26.53,371
2,BU00342607,BU00342607,13.09,371
3,BU00342607,BU00342607,22.42,371
4,BU00342607,BU00342607,29.85,371
5,BU00342607,BU00342607,8.11,371
1,BU00342608,BU00342608,27.54,2229
2,BU00342608,BU00342608,11.82,2229
3,BU00342608,BU00342608,23.72,2229
4,BU00342608,BU00342608,28.99,2229
5,BU00342608,BU00342608,7.93,2229
1,BU00342609,BU00342609,26.77,1195
2,BU00342609,BU00342609,12.85,1195
3,BU00342609,BU00342609,22.67,1195
4,BU00342609,BU00342609,29.87,1195
5,BU00342609,BU00342609,7.84,1195
1,BU00342701,BU00342701,26.33,2047
2,BU00342701,BU00342701,12.16,2047
3,BU00342701,BU00342701,23.14,2047
4,BU00342701,BU00342701,30.19,2047
5,BU00342701,BU00342701,8.18,2047
1,BU00342702,BU00342702,26.92,456
2,BU00342702,BU00342702,12.55,456
3,BU00342702,BU00342702,22.84,456
4,BU00342702,BU00342702,29.34,456
5,BU00342702,BU00342702,8.35,456
1,BU00342703,BU00342703,28.04,1858
2,BU00342703,BU00342703,11.89,1858
3,BU00342703,BU00342703,23.2,1858
4,BU00342703,BU00342703,28.67,1858
5,BU00342703,BU00342703,8.2,1858
1,BU00342704,BU00342704,27.09,2255
2,BU00342704,BU00342704,12.82,2255
3,BU00342704,BU00342704,22.29,2255
4,BU00342704,BU00342704,29.38,2255
5,BU00342704,BU00342704,8.42,2255
1,BU00342705,BU00342705,27.79,813
2,BU00342705,BU00342705,11.76,813
3,BU00342705,BU00342705,22.71,813
4,BU00342705,BU00342705,29.28,813
5,BU00342705,BU00342705,8.46,813
1,BU00342706,BU00342706,26.66,884
2,BU00342706,BU00342706,12.65,884
3,BU00342706,BU00342706,23.71,884
4,BU00342706,BU00342706,29.12,884
5,BU00342706,BU00342706,7.86,884
1,BU00342707,BU00342707,27.42,1064
2,BU00342707,BU00342707,11.91,1064
3,BU00342707,BU00342707,22.17,1064
4,BU00342707,BU00342707,30.45,1064
5,BU00342707,BU00342707,8.05,1064
1,BU00342708,BU00342708,26.78,2000
2,BU00342708,BU00342708,12.24,2000
3,BU00342708,BU00342708,22.36,2000
4,BU00342708,BU00342708,30.91,2000
5,BU00342708,BU00342708,7.71,2000
1,BU00342801,BU00342801,27.66,791
2,BU00342801,BU00342801,11.92,791
3,BU00342801,BU00342801,23.43,791
4,BU00342801,BU00342801,29.19,791
5,BU00342801,BU00342801,7.8,791
1,BU00342802,BU00342802,27.09,2007
2,BU00342802,BU00342802,12.3,2007
3,BU00342802,BU00342802,22.91,2007
4,BU00342802,BU00342802,29.27,2007
5,BU00342802,BU00342802,8.43,2007
1,BU00342803,BU00342803,26.6,1254
2,BU00342803,BU00342803,12.94,1254
3,BU00342803,BU00342803,21.85,1254
4,BU00342803,BU00342803,30.14,1254
5,BU00342803,BU00342803,8.47,1254
1,BU00342804,BU00342804,27.08,2393
2,BU00342804,BU00342804,11.83,2393
3,BU00342804,BU00342804,23.49,2393
4,BU00342804,BU00342804,29.68,2393
5,BU00342804,BU00342804,7.92,2393
1,BU00342805,BU00342805,26.77,2270
2,BU00342805,BU00342805,12.81,2270
3,BU00342805,BU00342805,23.06,2270
4,BU00342805,BU00342805,29.23,2270
5,BU00342805,BU00342805,8.13,2270
1,BU00342806,BU00342806,26.7,500
2,BU00342806,BU00342806,11.96,500
3,BU00342806,BU00342806,23.3,500
4,BU00342806,BU00342806,29.45,500
5,BU00342806,BU00342806,8.59,500
1,BU00342807,BU00342807,27.95,2252
2,BU00342807,BU00342807,12.67,2252
3,BU00342807,BU00342807,23.01,2252
4,BU00342807,BU00342807,28.45,2252
5,BU00342807,BU00342807,7.92,2252
1,BU00342808,BU00342808,27.61,397
2,BU00342808,BU00342808,11.83,397
3,BU00342808,BU00342808,22.5,397
4,BU00342808,BU00342808,29.72,397
5,BU00342808,BU00342808,8.34,397
1,BU00342809,BU00342809,26.94,1901
2,BU00342809,BU00342809,12.95,1901
3,BU00342809,BU00342809,22.61,1901
4,BU00342809,BU00342809,28.95,1901
5,BU00342809,BU00342809,8.55,1901
1,BU00342810,BU00342810,28.1,300
2,BU00342810,BU00342810,12.24,300
3,BU00342810,BU00342810,22.04,300
4,BU00342810,BU00342810,29.86,300
5,BU00342810,BU00342810,7.76,300
1,BU00342902,BU00342902,27.25,716
2,BU00342902,BU00342902,11.71,716
3,BU00342902,BU00342902,23.46,716
4,BU00342902,BU00342902,28.55,716
5,BU00342902,BU00342902,9.03,716
1,BU00342903,BU00342903,26.69,1069
2,BU00342903,BU00342903,12.64,1069
3,BU00342903,BU00342903,23.26,1069
4,BU00342903,BU00342903,29.02,1069
5,BU00342903,BU00342903,8.39,1069
1,BU00342904,BU00342904,26.61,2254
2,BU00342904,BU00342904,12.31,2254
3,BU00342904,BU00342904,22.2,2254
4,BU00342904,BU00342904,30.5,2254
5,BU00342904,BU00342904,8.38,2254
1,BU00343001,BU00343001,26.92,1618
2,BU00343001,BU00343001,12.26,1618
3,BU00343001,BU00343001,22.63,1618
4,BU00343001,BU00343001,29.96,1618
5,BU00343001,BU00343001,8.23,1618
1,BU00343002,BU00343002,27.49,1077
2,BU00343002,BU00343002,12.86,1077
3,BU00343002,BU00343002,22.84,1077
4,BU00343002,BU00343002,28.43,1077
5,BU00343002,BU00343002,8.38,1077
1,BU00343003,BU00343003,26.56,1763
2,BU00343003,BU00343003,12.5,1763
3,BU00343003,BU00343003,22.73,1763
4,BU00343003,BU00343003,30.5,1763
5,BU00343003,BU00343003,7.71,1763
1,BU00343004,BU00343004,26.59,1143
2,BU00343004,BU00343004,11.67,1143
3,BU00343004,BU00343004,23.13,1143
4,BU00343004,BU00343004,29.8,1143
5,BU00343004,BU00343004,8.81,1143
1,BU00343005,BU00343005,27.11,443
2,BU00343005,BU00343005,12.67,443
3,BU00343005,BU00343005,22.65,443
4,BU00343005,BU00343005,28.55,443
5,BU00343005,BU00343005,9.02,443
1,BU00343006,BU00343006,26.55,463
2,BU00343006,BU00343006,12.97,463
3,BU00343006,BU00343006,21.88,463
4,BU00343006,BU00343006,29.45,463
5,BU00343006,BU00343006,9.15,463
1,BU00343007,BU00343007,28.07,487
2,BU00343007,BU00343007,11.57,487
3,BU00343007,BU00343007,23.16,487
4,BU00343007,BU00343007,28.36,487
5,BU00343007,BU00343007,8.84,487
1,BU00343101,BU00343101,26.99,2387
2,BU00343101,BU00343101,12.67,2387
3,BU00343101,BU00343101,22.6,2387
4,BU00343101,BU00343101,30.01,2387
5,BU00343101,BU00343101,7.73,2387
1,BU00343102,BU00343102,27.65,1994
2,BU00343102,BU00343102,11.94,1994
3,BU00343102,BU00343102,22.66,1994
4,BU00343102,BU00343102,29.53,1994
5,BU00343102,BU00343102,8.22,1994
1,BU00343103,BU00343103,28.15,1560
2,BU00343103,BU00343103,12.92,1560
3,BU00343103,BU00343103,22.31,1560
4,BU00343103,BU00343103,28.86,1560
5,BU00343103,BU00343103,7.76,1560
1,BU00343104,BU00343104,27.76,1067
2,BU00343104,BU00343104,12.28,1067
3,BU00343104,BU00343104,23.02,1067
4,BU00343104,BU00343104,29.39,1067
5,BU00343104,BU00343104,7.55,1067
1,BU00343105,BU00343105,26.84,1591
2,BU00343105,BU00343105,12.09,1591
3,BU00343105,BU00343105,23.87,1591
4,BU00343105,BU00343105,29.38,1591
5,BU00343105,BU00343105,7.82,1591
1,BU00343201,BU00343201,26.63,485
2,BU00343201,BU00343201,13.07,485
3,BU00343201,BU00343201,22.12,485
4,BU00343201,BU00343201,30.25,485
5,BU00343201,BU00343201,7.93,485
1,BU00343401,BU00343401,27.83,1140
2,BU00343401,BU00343401,12.66,1140
3,BU00343401,BU00343401,22.45,1140
4,BU00343401,BU00343401,29.08,1140
5,BU00343401,BU00343401,7.98,1140
1,BU00343402,BU00343402,27.49,2038
2,BU00343402,BU00343402,12.84,2038
3,BU00343402,BU00343402,22.89,2038
4,BU00343402,BU00343402,28.18,2038
5,BU00343402,BU00343402,8.6,2038
1,BU00343403,BU00343403,26.29,2116
2,BU00343403,BU00343403,12.82,2116
3,BU00343403,BU00343403,23.18,2116
4,BU00343403,BU00343403,29.46,2116
5,BU00343403,BU00343403,8.25,2116
1,BU00343501,BU00343501,26.91,2064
2,BU00343501,BU00343501,13.34,2064
3,BU00343501,BU00343501,22.11,2064
4,BU00343501,BU00343501,29.29,2064
5,BU00343501,BU00343501,8.35,2064
1,BU00343502,BU00343502,26.26,1699
2,BU00343502,BU00343502,11.52,1699
3,BU00343502,BU00343502,23.27,1699
4,BU00343502,BU00343502,30.34,1699
5,BU00343502,BU00343502,8.61,1699
1,BU00343601,BU00343601,27.28,1071
2,BU00343601,BU00343601,11.86,1071
3,BU00343601,BU00343601,21.68,1071
4,BU00343601,BU00343601,30.49,1071
5,BU00343601,BU00343601,8.69,1071
1,BU00343701,BU00343701,26.85,1446
2,BU00343701,BU00343701,12.15,1446
3,BU00343701,BU00343701,22.11,1446
4,BU00343701,BU00343701,30.56,1446
5,BU00343701,BU00343701,8.33,1446
